timestamp,servo_angle,error_y,fps
1763550405.5851219,80.0,0,2.644631767707944
1763550420.2291481,80.0,0,0.06828723063706457
1763550420.2583928,80.0,0,34.19427527902104
1763550420.285203,80.0,0,37.29927967985771
1763550420.3074272,80.0,0,44.99601995387008
1763550420.331146,80.0,0,42.160588637368825
1763550420.356293,80.0,0,39.76623622883365
1763550420.3802898,80.0,0,41.67217088922007
1763550420.4053538,80.0,0,39.89787493103514
1763550420.4298306,80.0,0,40.85506949923536
1763550420.456476,80.0,0,37.52989915800965
1763550420.481076,80.0,0,40.65035859662726
1763550420.5156138,80.0,0,28.95379050406594
1763550420.548439,80.0,0,30.46437002011926
1763550420.5857654,80.0,0,26.79073570178464
1763550420.6128926,80.0,0,36.86328001406223
1763550420.6420527,80.0,0,34.29352607394568
1763550420.6779988,80.0,0,27.819405846029355
1763550420.71558,80.0,0,26.60904540465783
1763550420.7558622,80.0,0,24.82483013328914
1763550420.7849188,80.0,0,34.41564920572404
1763550420.8279796,80.0,0,23.222988760312276
1763550420.8985085,80.0,0,14.17856804813738
1763550420.9802837,80.0,0,12.22864806554127
1763550421.015368,80.0,0,28.50282017478288
1763550421.07241,80.0,0,17.530904652834668
1763550421.1334944,80.0,0,16.370826600469936
1763550421.1767538,80.0,0,23.116372634932183
1763550421.2819977,80.0,0,9.50173642181571
1763550421.308618,80.0,0,37.56519246959357
1763550421.3846433,80.0,0,13.153525071109815
1763550421.4127867,80.0,0,35.53230206197794
1763550421.468057,80.0,0,18.09293417306531
1763550421.5250628,80.0,0,17.542049351735674
1763550421.6537673,80.18,45,7.769733210330736
1763550421.686217,80.2,-26,30.81690471992006
1763550421.714464,80.25066666666667,30,35.4021405179108
1763550421.759442,80.25066666666667,0,22.23302164832602
1763550421.8189452,80.25066666666667,0,16.80585317380817
1763550421.8753085,80.25066666666667,0,17.742027452888053
1763550421.9350467,80.25066666666667,0,16.739719029374204
1763550421.9905474,80.25066666666667,0,18.017775906730186
1763550422.0509048,80.25066666666667,0,16.56799535466134
1763550422.1066363,80.25066666666667,0,17.943162713097045
1763550422.1669178,80.25066666666667,0,16.588833210066486
1763550422.227123,80.25066666666667,0,16.609855100012275
1763550422.2828074,80.25066666666667,0,17.95837418702929
1763550422.3435357,80.25066666666667,0,16.46678418455281
1763550422.410058,80.25066666666667,0,15.032539469204165
1763550422.50629,80.25066666666667,0,10.39156050403096
